Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/7/95,899051,1931,60062-6127,Financial Services,45780.0,"The Allstate Corporation, through its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. The company operates through Allstate Protection, Service Businesses, Allstate Life, and Allstate Benefits segments. The Allstate Protection segment offers private passenger auto and homeowners insurance; specialty auto products, including motorcycle, trailer, motor home, and off-road vehicle insurance; other personal lines products, such as renter, condominium, landlord, boat, umbrella, and manufactured home and stand-alone scheduled personal property; liability insurance products; and commercial lines products under the Allstate, Esurance, and Encompass brand names. The Service Businesses segment provides consumer product protection plans; finance and insurance products, including vehicle service contracts, guaranteed asset protection waivers, road hazard tire and wheel, and paint less dent repair protection; roadside assistance; device and mobile data collection services; and analytic solutions using automotive telematics information and identity protection. This segment offers its products under various brands including Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside Services, Arity, and Allstate Identity Protection. The Allstate Life Segment offers traditional, interest-sensitive, and variable life insurance products, as well as non-proprietary retirement product solutions offered by third-party providers. Its Allstate Benefits segment provides life, accident, critical illness, short-term disability, and other health insurance products. The company sells its products through direct contact centers, agencies, financial specialists, brokers, wholesale partners, and affinity groups, as well as through online and mobile applications. The Allstate Corporation was founded in 1931 and is based in Northbrook, Illinois.",Northbrook,847-402-5000,IL,United States,,http://www.allstate.com,1.0,2775 Sanders Road,,Insurance—Property & Casualty,93.81,93.72,96.058914,0.022172475,0.1565,,93.79,,2173650.0,,93.81,94.40914,2.08,93.72,,2173650.0,,,,2.16,1598486400.0,0.733556,,,91.07,2.0,USD,6.8367424,1876331.0,,,,28498835456.0,,,2012993.0,0.65045047,91.07,91.99,,800.0,1876331.0,125.92,7.886776400000001,,1.83,64.13,90.01,False,0.023,800.0,93.79,NYQ,Allstate Corporation (The),The Allstate Corporation,America/New_York,EDT,False,-14400000.0,EQUITY,ALL,finmb_18711,us_market,,0.7120000000000001,,0.10277,4.667,-0.14036739,,11.57,,312316000.0,,,79.923,2980518.0,0.0095,,1577750400.0,0.8077300000000001,4333000192.0,13.347,,0.15022206,1.141724,0.00417,1640908800.0,1593475200.0,1.56,1594771200.0,310642143.0,31211849728.0,,899337600.0,2:01,,,0.469,1597363200.0,1.17,,0.0096,3486693.0,,,93.72,https://logo.clearbit.com/allstate.com,,,,,
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",3/4/14,1652044,1998,94043,Communication Services,127498.0,"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It offers performance and brand advertising services. The company operates through Google and Other Bets segments. The Google segment offers products, such as Ads, Android, Chrome, Google Cloud, Google Maps, Google Play, Hardware, Search, and YouTube, as well as technical infrastructure. It also offers digital content, cloud services, hardware devices, and other miscellaneous products and services. The Other Bets segment includes businesses, including Access, Calico, CapitalG, GV, Verily, Waymo, and X, as well as Internet and television services. Alphabet Inc. was founded in 1998 and is headquartered in Mountain View, California.",Mountain View,650-253-0000,CA,United States,,http://www.abc.xyz,1.0,1600 Amphitheatre Parkway,,Internet Content & Information,1581.21,1525.0,1389.3329,,0.0,,1555.55,,2181960.0,,1581.21,1552.0309,,1525.0,,2181960.0,,,,,,1.07525,,,1516.5,2.0,USD,33.491603999999995,2701586.0,,,,1039460000000.0,,,1795029.0,6.260663,1516.5,1519.99,,800.0,2701586.0,1726.1,26.918728,,,1008.87,1516.51,False,,800.0,1555.55,NMS,Alphabet Inc.,Alphabet Inc.,America/New_York,EDT,False,-14400000.0,EQUITY,GOOGL,finmb_29096,us_market,,5.61,,0.18993,20.232,0.31144570000000005,,56.6,,300471008.0,,,304.342,2183401.0,0.0032,,1577750400.0,0.82294,31534000128.0,45.492,,0.15022206,5.00621,0.00143,1640908800.0,1593475200.0,1.35,1594771200.0,610535284.0,931360000000.0,,1396483200.0,1998:1000,,,-0.3,1597363200.0,7.44,,0.0073,3197097.0,,,1525.0,https://logo.clearbit.com/abc.xyz,,,,,
GOOG,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",3/4/06,1652044,1998,94043,Communication Services,127498.0,"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It offers performance and brand advertising services. The company operates through Google and Other Bets segments. The Google segment offers products, such as Ads, Android, Chrome, Google Cloud, Google Maps, Google Play, Hardware, Search, and YouTube, as well as technical infrastructure. It also offers digital content, cloud services, hardware devices, and other miscellaneous products and services. The Other Bets segment includes businesses, including Access, Calico, CapitalG, GV, Verily, Waymo, and X, as well as Internet and television services. Alphabet Inc. was founded in 1998 and is headquartered in Mountain View, California.",Mountain View,650-253-0000,CA,United States,,http://www.abc.xyz,1.0,1600 Amphitheatre Parkway,,Internet Content & Information,1591.04,1533.51,1390.5653,,0.0,,1563.865,,2375540.0,,1591.04,1553.5388,,1533.51,,2375540.0,,,,,,1.07525,,,1528.01,2.0,USD,33.684822,2529879.0,,,,1039000000000.0,,,1796706.0,6.257879,1528.01,1529.99,,900.0,2529879.0,1733.18,27.155592,,,1013.536,1528.76,False,,1000.0,1563.865,NMS,Alphabet Inc.,Alphabet Inc.,America/New_York,EDT,False,-14400000.0,EQUITY,GOOG,finmb_29096,us_market,,5.646,,0.18993,20.361,0.31927037,,56.43,,333631008.0,,,304.342,2472852.0,0.0024,,1577750400.0,0.7062,31534000128.0,45.492,,0.15022206,5.035092,0.05746,1640908800.0,1593475200.0,0.99,1594771200.0,610535284.0,937339000000.0,,1430092800.0,10000000:10000000,,,-0.3,1597363200.0,5.91,,,2437191.0,,,1533.51,https://logo.clearbit.com/abc.xyz,,,,,
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",4/3/57,764180,1985,23230,Consumer Defensive,7300.0,"Altria Group, Inc., through its subsidiaries, manufactures and sells cigarettes, smokeless products, and wine in the United States. It offers cigarettes primarily under the Marlboro brand; cigars principally under the Black & Mild brand; and moist smokeless tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands, as well as provides on! oral nicotine pouches. The company also produces and sells varietal and blended table wines, and sparkling wines under the Chateau Ste. Michelle and 14 Hands names; owns Stag's Leap Wine Cellars, Conn Creek, Patz & Hall, and Erath wine brands; and imports and markets Antinori, Torres, and Villa Maria Estate wines, as well as Champagne Nicolas Feuillatte in the United States. In addition, it provides finance leasing services primarily in transportation, power generation, real estate, and manufacturing equipment industries. The company sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia.",Richmond,804 274 2200,VA,United States,,http://www.altria.com,1.0,6601 West Broad Street,,Tobacco,43.49,43.7,40.103985,0.07725914,,,44.07,,8664740.0,,43.49,42.612858,3.36,43.7,,8664740.0,,,,3.44,1600041600.0,0.499442,,,42.7,2.0,USD,,8577438.0,,,,80041287680.0,,,7571190.0,3.9386518,42.7,42.99,,1000.0,8577438.0,51.78,9.445175,,4.97,30.95,42.86,False,0.0791,1300.0,44.07,NYQ,"Altria Group, Inc.","Altria Group, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,MO,finmb_53839346,us_market,,5.175,,-0.044970002,9.057,-0.016952991,,4.56,,1858400000.0,,,3.0610000000000004,9981003.0,0.0054,,1577750400.0,0.64194,-922000000.0,-0.495,,0.15022206,14.070564,0.00099,1640908800.0,1593475200.0,1.52,1594771200.0,1855442350.0,105174000000.0,,860716800.0,3:01,,,-0.027000000000000003,1597363200.0,1.65,,0.0054,11432069.0,,,43.7,https://logo.clearbit.com/altria.com,,,,,
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/05,1018724,1994,98109-5210,Consumer Cyclical,798000.0,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It sells merchandise and content purchased for resale from third-party sellers through physical and online stores. The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products on its Websites, as well as its stores; and programs that allow authors, musicians, filmmakers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, and other AWS services, as well as fulfillment, advertising, publishing, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program, which provides free shipping of various items; access to streaming of movies and TV episodes; and other services. The company also operates in the food delivery business in Bengaluru, India. It serves consumers, sellers, developers, enterprises, and content creators. The company also has utility-scale solar projects in China, Australia, and the United States. Amazon.com, Inc. was founded in 1994 and is headquartered in Seattle, Washington.",Seattle,206-266-1000,WA,United States,,http://www.amazon.com,1.0,410 Terry Avenue North,,Internet Retail,3294.62,3144.0,2567.4875,,0.0,,3250.11,,5707340.0,,3294.62,3218.962,,3144.0,,5707340.0,,,,,,1.323857,,,3130.0,2.0,USD,120.97553,6094205.0,,,,1577720000000.0,,,4825217.0,4.9030814000000005,3130.0,3133.08,,1000.0,6094205.0,3552.25,71.70135,,,1626.03,3130.5,False,,1200.0,3250.11,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,AMZN,finmb_18749,us_market,,5.191,,0.040960003,42.205,0.8096839,,43.93,,500889984.0,,,147.162,2207816.0,0.0044,,1577750400.0,0.57689,13180000256.0,26.037,,0.15022206,21.403894,0.15122,1640908800.0,1593475200.0,0.46,1594771200.0,425265331.0,1670250000000.0,,936230400.0,2:01,,,0.997,1597363200.0,2.89,,0.0052,3618861.0,,,3144.0,https://logo.clearbit.com/amazon.com,,,,,
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",7/6/19,1748790,2019 (1860),8050,Consumer Cyclical,47000.0,"Amcor plc develops, manufactures, and sells various packaging products for food, beverage, medical and pharmaceutical, fresh produce, snack food, personal care, and other industries worldwide. It operates through two segments, Flexibles and Rigid Packaging. The company provides flexible packaging products, rigid packaging containers, specialty cartons, and closures. The company is headquartered in ZÃ¼rich, Switzerland.",Zurich,41 44 316 1717,,Switzerland,,http://www.amcor.com,1.0,Thurgauerstrasse 34,,Packaging & Containers,11.02,10.89,9.643188,0.042649727000000005,1.2016001,,10.97,,8949420.0,,11.02,10.937715,0.47,10.89,,8949420.0,,,,0.46,1599004800.0,0.478313,,,10.73,2.0,USD,34.408947,9048407.0,,,,16820371456.0,,,9977109.0,1.3491374,10.73,11.21,,1300.0,9048407.0,11.59,15.838235999999998,,,5.8,10.77,False,0.0417,21500.0,10.97,NYQ,Amcor plc,Amcor plc,America/New_York,EDT,False,-14400000.0,EQUITY,AMCR,finmb_401715,us_market,,1.87,,0.049099997,12.804,0.095427394,,0.68,,1561779968.0,,,3.3310000000000004,30527316.0,0.0195,,1593475200.0,0.32814997,619500032.0,0.313,,0.15022206,3.2332633,0.0019,1656547200.0,1593475200.0,4.55,1594771200.0,1554066318.0,23314032640.0,,,,,,,1597363200.0,2.95,,0.0196,47434875.0,,,10.89,https://logo.clearbit.com/amcor.com,,,,,
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",19/9/91,1002910,1902,63103,Utilities,9323.0,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. It operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. The company engages in the rate-regulated electric generation, transmission, and distribution activities; and rate-regulated natural gas distribution and transmission businesses. It primarily generates electricity through coal, nuclear, and natural gas, as well as renewable sources, such as hydroelectric, methane gas, and solar. The company serves residential, commercial, and industrial customers. As of March 25, 2020, it served approximately 1.2 million electric customers and approximately 132,000 natural gas customers in central and eastern Missouri. The company was founded in 1881 and is headquartered in St. Louis, Missouri.",St. Louis,314-621-3222,MO,United States,,http://www.ameren.com,1.0,1901 Chouteau Avenue,,Utilities—Regulated Electric,78.465,78.43,75.628914,0.024979291,0.57310003,,78.43,,1104740.0,,78.465,80.18743,1.96,78.43,,1104740.0,,,,1.98,1599523200.0,0.275919,,,76.62,2.0,USD,22.638199,962167.0,,,,19123992576.0,,,1420651.0,3.442663,76.62,77.72,,900.0,962167.0,87.66,20.585106,,2.98,58.74,77.43,False,0.0251,800.0,78.43,NYQ,Ameren Corporation,Ameren Corporation,America/New_York,EDT,False,-14400000.0,EQUITY,AEE,finmb_373264,us_market,,5.384,,0.15248,12.226,0.06400752,,3.76,,247080000.0,,,33.294000000000004,12836139.0,0.051999997,,1577750400.0,0.76996005,847000000.0,3.419,,0.15022206,2.3247433,0.00429,1640908800.0,1593475200.0,9.52,1594771200.0,245676117.0,29905954816.0,,,,,,0.358,1597363200.0,3.89,,0.0596,13379487.0,,,78.43,https://logo.clearbit.com/ameren.com,,,,,
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",23/3/15,6201,1934,76155,Industrials,107400.0,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. It provides scheduled air transportation services for passengers and cargo. As of December 31, 2019, the company operated a mainline fleet of 942 aircraft. It serves 365 destinations in approximately 61 countries, principally from its hubs and gateways in Charlotte, Chicago, Dallas/Fort Worth, London Heathrow, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C. American Airlines Group Inc. has strategic partnership with JetBlue Airways Corp. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,817 963 1234,TX,United States,,http://www.aa.com,1.0,1 Skyview Drive,,Airlines,13.61,13.36,13.098768,0.022042617,,,14.16,,65824420.0,,13.61,12.53,0.3,13.36,,65824420.0,,,,0.4,1580774400.0,1.75418,,,13.15,2.0,USD,,72746017.0,,,,6864245248.0,,,85944260.0,0.20575657,13.15,13.5,,27000.0,72746017.0,31.67,-4.9205775,,1.26,8.25,13.49,False,0.0294,39400.0,14.16,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EDT,False,-14400000.0,EQUITY,AAL,finmb_168569,us_market,,1.114,,-0.10398,-43.573,-0.53262365,,-2.77,,508110016.0,,,-6.231,150875011.0,0.2967,,1577750400.0,0.84803003,-3468999936.0,-8.016,,0.15022206,,0.01165,1640908800.0,1593475200.0,2.03,1594771200.0,502326203.0,37167689728.0,,1386547200.0,0:01,,,,1597363200.0,0.03,,0.431,150196852.0,,,13.36,https://logo.clearbit.com/aa.com,,,,,
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",4/3/57,4904,1906,43215-2373,Utilities,17408.0,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, nuclear, and hydroelectric, as well as solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. The company owns, leases, or controls approximately 4,004 railcars, 468 barges, 8 towboats, and a coal handling terminal with approximately 18 million tons of annual capacity. American Electric Power Company, Inc. was founded in 1906 and is headquartered in Columbus, Ohio.",Columbus,614-716-1000,OH,United States,,http://www.aep.com,1.0,1 Riverside Plaza,,Utilities—Regulated Electric,79.05,79.08,83.52573000000002,0.035041112,0.7232,,79.38,,3056060.0,,79.05,83.08028399999998,2.77,79.08,,3056060.0,,,,2.8,1596758400.0,0.309364,,,77.67,2.0,USD,20.616028,1713354.0,,,,39555792896.0,,,3156792.0,2.6070714,77.67,79.67,,900.0,1713354.0,104.97,16.984947000000002,,3.33,65.14,78.06,False,0.0354,1000.0,79.38,NYQ,American Electric Power Company,"American Electric Power Company, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,AEP,finmb_135470,us_market,,4.729,,0.12542,13.242,-0.13217688,,4.65,,496155008.0,,,40.337,7568542.0,0.0153,,1577750400.0,0.76459,1903000064.0,3.831,,0.15022206,1.9580038,0.00013000000000000002,1640908800.0,1593475200.0,2.01,1594771200.0,495644396.0,71756652544.0,,,,,,0.129,1597363200.0,3.25,,0.0153,6528427.0,,,79.08,https://logo.clearbit.com/aep.com,,,,,
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",30/6/76,4962,1850,10285,Financial Services,64000.0,"American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services worldwide. The company operates through three segments: Global Consumer Services Group, Global Commercial Services, and Global Merchant and Network Services. Its products and services include payment and financing products; network services; expense management products and services; and lifestyle services. The company's products and services also comprise merchant acquisition and processing, servicing and settlement, point-of-sale marketing, and information products and services for merchants; and fraud prevention services, as well as the design and operation of customer loyalty programs. It sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through mobile and online applications, third-party vendors and business partners, direct mail, telephone, in-house sales teams, and direct response advertising. American Express Company was founded in 1850 and is headquartered in New York, New York.",New York,212-640-2000,NY,United States,,http://www.americanexpress.com,1.0,200 Vesey Street,,Credit Services,105.67,104.42,95.17913,0.01627709,0.3561,,105.08,,4665820.0,,105.67,98.33572,1.72,104.42,,4665820.0,,,,1.72,1593561600.0,1.143255,,,103.3,2.0,USD,21.3225,4226964.0,,,,83471040512.0,,,4528339.0,2.4363992000000003,103.3,104.17,,800.0,4226964.0,138.13,15.519462,,1.53,67.0,101.56,False,0.0163,900.0,105.08,NYQ,American Express Company,American Express Company,America/New_York,EDT,False,-14400000.0,EQUITY,AXP,finmb_92001,us_market,,2.742,,0.11886,,-0.09922427,,6.68,,805161024.0,,,26.164,9901680.0,0.012300001,,1577750400.0,0.87087995,3955000064.0,4.862,,0.15022206,3.9623146,0.00101,1640908800.0,1593475200.0,2.7,1594771200.0,651504173.0,93926375424.0,,1128297600.0,10000:8753,,,-0.8540000000000001,1597363200.0,3.42,,0.0152,9495485.0,,,104.42,https://logo.clearbit.com/americanexpress.com,,,,,
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",31/3/80,5272,1919,10038,Financial Services,46000.0,"American International Group, Inc. provides insurance products for commercial, institutional, and individual customers in North America and internationally. The company's General Insurance segment offers general liability, environmental, commercial automobile liability, workers' compensation, excess casualty, and crisis management insurance products, as well as various risk-sharing and other customized structured programs; commercial, industrial, and energy-related property insurance; and aerospace, political risk, trade credit, portfolio solutions, surety, crop, and marine insurance. It also provides professional liability insurance products for a range of businesses and risks, including directors and officer's liability, mergers and acquisitions, fidelity, employment practices, fiduciary liability, cyber risk, kidnap and ransom, and errors and omissions insurance. In addition, this segment offers personal auto and property insurance, voluntary and sponsor-paid personal accident, and supplemental health products; extended warranty insurance products; and travel insurance products. Its Life and Retirement segment offers variable annuities, fixed index and fixed annuities, and retail mutual funds; group mutual funds, individual annuity and investment products, and financial planning and advisory services; and term life and universal life insurance. This segment also provides stable value wrap products, and structured settlement and pension risk transfer annuities; and corporate- and bank-owned life insurance and guaranteed investment contracts. This segment sells its products through independent marketing organizations, independent insurance agents, financial advisors, direct marketing, banks, wirehouses, and broker-dealers. The company's Legacy Portfolio segment offers legacy insurance products. American International Group, Inc. was founded in 1919 and is headquartered in New York, New York.",New York,212-770-7000,NY,United States,,http://www.aig.com,1.0,175 Water Street,,Insurance—Diversified,29.8,29.38,29.741740000000004,0.04295302,,,29.55,,6358240.0,,29.8,30.472286,1.28,29.38,,6358240.0,,,,1.28,1600214400.0,1.387402,,,28.57,2.0,USD,,6912771.0,,,,24886827008.0,,,6429756.0,0.51214844,28.57,28.86,,1300.0,6912771.0,58.66,6.7030163,,2.43,16.07,28.75,False,0.0435,1100.0,29.55,NYQ,"American International Group, I","American International Group, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,AIG,finmb_250388,us_market,,0.8540000000000001,,-0.09454001,3.902,-0.46306306,,4.31,,861433984.0,,,71.682,14019507.0,0.0163,,1577750400.0,0.95679003,-4672000000.0,-5.29,,0.15022206,0.40303004,0.00097,1640908800.0,1593475200.0,2.16,1594771200.0,860374336.0,41492729856.0,,1246406400.0,1:20,,,,1597363200.0,3.04,,0.0163,14423426.0,,,29.38,https://logo.clearbit.com/aig.com,,,,,
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/07,1053507,1995,2116,Real Estate,5454.0,"American Tower, one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of approximately 181,000 communications sites.",Boston,617-375-7500,MA,United States,,http://www.americantower.com,1.0,116 Huntington Avenue,617-375-7575,REIT—Specialty,249.98,248.72,246.12007000000003,0.016561324,0.96059996,,249.63,,1681240.0,,249.98,254.008,4.14,248.72,,1681240.0,,,,4.14,1592438400.0,0.375696,,,243.1,2.0,USD,57.27779,1379944.0,,,,111291000000.0,,,1653715.0,14.298548,243.1,248.18,,1100.0,1379944.0,272.2,50.472393,,1.79,174.32,247.94,False,0.0166,1000.0,249.63,NYQ,American Tower Corporation (REI,American Tower Corporation (REIT),America/New_York,EDT,False,-14400000.0,EQUITY,AMT,finmb_24766,us_market,,18.015,,0.24699,29.05,0.15619063,,4.89,,443571008.0,,,8.162,2562339.0,0.0058,,1577750400.0,0.94049,1922400000.0,4.309,,0.15022206,30.238913,0.0034200000000000003,1640908800.0,1593475200.0,1.82,1594771200.0,441900053.0,140217000000.0,,,,,,0.04,1597363200.0,4.09,,0.0067,3290856.0,,,248.72,https://logo.clearbit.com/americantower.com,11th Floor,,,,
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Camden, New Jersey",4/3/16,1410636,1886,08102-1658,Utilities,6800.0,"American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services in the United States. It offers water and wastewater services to approximately 1,700 communities in 16 states serving approximately 3.4 million active customers. The company serves residential customers; commercial customers, such as food and beverage providers, commercial property developers and proprietors, and energy suppliers; fire service and private fire customers; industrial customers, such as large-scale manufacturers, mining, and production operations; public authorities comprising government buildings and other public sector facilities, such as schools and universities; and other utilities and community water and wastewater systems. It also provides various warranty protection programs to residential customers; and water and wastewater services on various military installations. In addition, the company undertakes contracts with municipal customers, primarily to operate and manage water and wastewater facilities, as well as offers other related services. It operates approximately 80 surface water treatment plants; 520 groundwater treatment plants; 140 wastewater treatment plants; 52,500 miles of transmission, distribution, and collection mains and pipes; 1,000 groundwater wells; 1,500 water and wastewater pumping stations; 1,300 treated water storage facilities; and 76 dams. The company serves approximately 15 million people with drinking water, wastewater, and other water-related services in 46 states. The company was founded in 1886 and is headquartered in Camden, New Jersey.",Camden,856 955 4001,NJ,United States,,http://www.amwater.com,1.0,1 Water Street,,Utilities—Regulated Water,143.17,143.0,130.68631000000002,0.014318642,0.5824,,143.21,,787780.0,,143.17,144.56114,2.05,143.0,,787780.0,,,,2.2,1597104000.0,0.207357,,,140.14,2.0,USD,39.991478,753848.0,,,,25807083520.0,,,771289.0,6.9937897,140.14,141.37,,900.0,753848.0,150.47,33.357822,,1.85,92.0,141.23,False,0.0154,800.0,143.21,NYQ,"American Water Works Company, I","American Water Works Company, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,AWK,finmb_250885,us_market,,9.648,,0.1729,19.233,0.18488777,,4.22,,181204000.0,,,34.978,2260171.0,0.0125,,1577750400.0,0.88974,638000000.0,3.52,,0.15022206,4.02453,0.00236,1640908800.0,1593475200.0,3.1,1594771200.0,180722065.0,35601096704.0,,838339200.0,2:01,,,0.035,1597363200.0,4.49,,0.0143,2467234.0,,,143.0,https://logo.clearbit.com/amwater.com,,,,,
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",3/10/05,820027,1894,55474,Financial Services,12500.0,"Ameriprise Financial, Inc., through its subsidiaries, provides various financial products and services to individual and institutional clients in the United States and internationally. It operates through five segments: Advice & Wealth Management, Asset Management, Annuities, Protection, and Corporate & Other. The Advice & Wealth Management segment provides financial planning and advice, as well as full-service brokerage services primarily to retail clients through its advisors. The Asset Management segment offers investment management, advice, and investment products to retail, high net worth, and institutional clients through unaffiliated third party financial institutions and institutional sales force. Its products also include U.S. mutual funds and their non-U.S. equivalents, exchange-traded funds, variable product funds underlying insurance, and annuity separate accounts; and institutional asset management products, such as traditional asset classes, separately managed accounts, individually managed accounts, collateralized loan obligations, hedge funds, collective funds, and property funds. The Annuities segment provides variable and fixed annuity products to individual clients through affiliated and unaffiliated advisors, and financial institutions. The Protection segment offers variable and fixed annuity products to address the protection and risk management needs of retail clients, including life and disability income insurance. The Corporate & Other segment consist of long term care business, net investment income or loss on corporate level assets. The company was formerly known as American Express Financial Corporation and changed its name to Ameriprise Financial, Inc. in September 2005. Ameriprise Financial, Inc. was founded in 1894 and is headquartered in Minneapolis, Minnesota.",Minneapolis,612-671-3131,MN,United States,,http://www.ameriprise.com,1.0,55 Ameriprise Financial Center,,Asset Management,156.54,154.36,135.61674,0.025233168,0.20459999,,154.5,,654760.0,,156.54,156.98972,3.95,154.36,,654760.0,,,,4.16,1596758400.0,1.773132,,,148.88,2.0,USD,7.768770699999999,743198.0,,,,17981417472.0,,,842570.0,1.472559,148.88,150.89,,900.0,743198.0,180.85,8.29229,,2.57,80.01,150.08,False,0.026600001,800.0,154.5,NYQ,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,AMP,finmb_4165019,us_market,,1.212,,0.20497999,3.795,0.08234799,,18.03,,120269000.0,,,53.894,2852362.0,0.023699999,,1577750400.0,0.88016,2503000064.0,19.245,,0.15022206,2.7741492,0.0025,1640908800.0,1593475200.0,4.45,1594771200.0,119813048.0,14802398208.0,,,,,,,1597363200.0,1.23,,0.026700001,2780728.0,,,154.36,https://logo.clearbit.com/ameriprise.com,,,,,
